,2020,2019,2018,2017,2016,2015,2010,2005,2000,1995,1990,1985,1980,1975,1970,1965,1960,1955
Sudan,"43,849,260","42,813,238","41,801,533","40,813,397","39,847,439","38,902,950","34,545,013","30,949,516","27,275,015","24,094,747","20,147,590","17,210,187","14,507,468","12,144,135","10,281,700","8,770,097","7,544,491","6,549,298"
Ukraine,"43,733,762","43,993,638","44,246,156","44,487,709","44,713,702","44,921,639","45,792,090","46,890,772","48,838,065","50,903,785","51,463,105","50,919,275","49,965,874","48,755,665","47,088,857","45,264,548","42,664,652","40,019,491"
Iraq,"40,222,493","39,309,783","38,433,600","37,552,781","36,610,632","35,572,261","29,741,976","26,922,284","23,497,585","20,149,338","17,419,113","15,555,800","13,653,354","11,684,590","9,917,983","8,375,790","7,289,760","6,502,657"
Afghanistan,"38,928,346","38,041,754","37,171,921","36,296,113","35,383,032","34,413,603","29,185,507","25,654,277","20,779,953","18,110,657","12,412,308","11,938,208","13,356,511","12,689,160","11,173,642","9,956,320","8,996,973","8,270,991"
Poland,"37,846,611","37,887,768","37,921,592","37,953,180","37,989,220","38,034,079","38,329,781","38,368,949","38,556,693","38,458,638","37,960,193","37,133,870","35,539,720","33,970,724","32,639,258","31,360,907","29,614,201","27,269,749"
Canada,"37,742,154","37,411,047","37,074,562","36,732,095","36,382,944","36,026,676","34,147,564","32,164,309","30,588,383","29,164,152","27,541,319","25,744,810","24,416,886","23,059,265","21,374,326","19,627,980","17,847,405","15,673,763"
Morocco,"36,910,560","36,471,769","36,029,093","35,581,255","35,126,283","34,663,603","32,343,389","30,455,561","28,793,679","26,994,250","24,807,462","22,499,110","19,990,012","17,796,164","16,004,731","14,230,163","12,328,532","10,502,666"
Saudi Arabia,"34,813,871","34,268,528","33,702,756","33,101,179","32,443,447","31,717,667","27,421,461","23,816,183","20,663,843","18,638,787","16,233,785","13,118,993","9,691,476","7,419,493","5,836,389","4,843,635","4,086,539","3,558,155"
Uzbekistan,"33,469,203","32,981,716","32,476,244","31,959,785","31,441,751","30,929,557","28,515,909","26,427,789","24,769,955","22,791,026","20,398,348","18,061,284","15,898,757","13,857,478","12,080,317","10,116,870","8,526,300","7,277,333"
Peru,"32,971,854","32,510,453","31,989,260","31,444,298","30,926,032","30,470,734","29,027,674","27,866,145","26,459,944","24,299,160","22,071,433","19,772,872","17,547,610","15,424,744","13,459,794","11,711,392","10,155,015","8,858,389"
