"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bangladesh","BGD","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","298123217.32248","327312070.329498","404676733.922531","415162066.83929","561389790.196452","633370099.836734","664259286.109532","587744768.316057","693164805.794473","778180844.083524","784982135.479981","672477494.116363","381325650","979329777.663539","1673257331.15742","2258156894.99775","1461842222.22222","1614547899.15966","1900582718.25397","2441672036.79369","3648772609.81912","4010648714.81028","3713023952.09581","3675294612.79461","4054840000","4527346153.84615","4437333333.33333","4762612903.22581","5298846024.27918","5694953541.74236","6365683595.33749","6538067226.89076","6886498673.74005","7606494486.77249","7925502152.1197","8946505554.72637","10069682151.5892","10547494145.1991","11326872246.696","11472233777.0383","11890459153.2499","12193291326.9088","12498572174.8215","13520207253.886","14831544080.1767","16180097560.9756","17305038402.3228","19505343318.8532","22657667364.8156","25922343711.8473","28769596138.0853","32217757150.5022","33752286037.6357","39458093190.1973","45487972928.6353","52342330516.1637","60548457702.2888","69297028339.0269","78202468017.3302","89708398985.1147","95430672652.9322",
"Bulgaria","BGR","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","10668230769.2308","10320142857.1429","11201066666.6667","9991166666.66667","10548777777.7778","10727526315.7895","12961529411.7647","17272000000","13752176470.5882","13059444444.4444","10579090909.0909","4350483870.96774","4042113402.06186","3540144927.53623","2904059040.59041","3395967261.90476","1993277121.97864","2464063856.35293","3199914224.03999","3044131795.17876","3003835068.05444","3401327871.10358","3937423206.54791","5142333352.57113","6051211351.66021","7238043961.62887","8722295902.00731","11668137858.6424","13615211278.1393","13821261818.4403","12040701908.7586","14437254888.0199","13783088699.0802","13121408794.7883","13382063492.0635","12199120947.6309","13191321832.5792","14193558052.4345","14868538925.7695","14944467086.4339","15322084134.4753",
"Bahrain","BHR","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","1815600955.16052","2004520744.68085","1927925000","1800000000","1914095744.68085","1769414893.61702","1328511968.08511","1493365691.48936","1555685372.34043","1641577659.57447","1934475531.91489","1840228723.40426","1767942021.2766","1973239893.61702","2083655053.19149","2336724468.08511","","","","","","","","","","","8379601063.82979","9977952127.65957","12960265957.4468","9886303191.48936","11564787234.0426","14249361702.1277","14621010638.2979","15601170212.766","15531888297.8723","12468031914.8936","12670106382.9787","14606968085.1064","16201595744.6809","16264707446.8085","13987659574.4681",
"Bahamas, The","BHS","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","470507000","449708000","488428000","479323000","404739000","475257000","471998000","506618000","804800000","866300000","891800000","981200000","793200000","942900000","964200000","936600000","1063200000","1193000000","983200000","1093600000","999200000","1161000000","1213000000","1397300000","1355500000","1468600000","1308100000","1579400000","1632200000","1593400000","1579300000","1153500000",
"Bosnia and Herzegovina","BIH","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","324691358.024691","479709231.735399","716013623.072834","925944870.538031","1129218048.531","1141296840.95861","1199073936.00753","1214544026.91547","1333332031.82062","1684421569.96355","2055227863.3195","2405397529.16037","2705438274.54205","3435422220.27223","4434425125.81699","4034915454.98454","3856876047.30379","4137871986.45867","3723773051.51044","4056733298.41905","4112413122.36993","3669962311.00388","3931920634.24889","4339391782.56463","4948198512.7047","4841096373.56319","4898107305.13806",
"Belarus","BLR","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9937500000","","","","5799000000","4503000000","5049769230.76923","5068769230.76923","5389086956.52174","4132429718.8755","4264853556.48536","4010863309.35252","4643216080.40201","5837006338.37153","8104907407.40741","11430176415.9703","13749603729.6037","16774044734.3896","23590964419.4757","18374507697.816","20252769385.6999","22287638190.9548","23832433729.1592","27117454954.955","27883705007.8247","18456423458.4955","14774175713.7113","17268695337.163","18769140164.8999","20441772636.0073","18861206755.2058",
"Belize","BLZ","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","31050000","30350000","46087781.686583","40762796.6292365","33626213.4056664","35392361.5134597","44358514.4245867","40867454.0688304","43570368.2935586","59398379.26772","67742362.3374245","75545773.2903465","79683487.31237","84258100","98163500","106821150","103413200","111269050","116719500","114371650","119197950","122686100","154235450","154886350","158256350","149129350","161015900","167021150","214168250","233995100","263540350","251826050","263165150","292449750","272077350","268668700","269201000","243054750","252109850","250295900","229625300","254772400","254912056.309797",
"Bermuda","BMU","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","223717400","237559000","203498600","289225700","385365000","379403000","377345000","400577000","431355000","484434000","","","","","437715000","357767000","326483000","342621000","320997000","341004000","369131000","393492000","411970000","477873000","",
"Bolivia","BOL","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","315235690.23569","325336700.3367","419029710.41745","443378310.844578","764167916.041979","752823588.205897","871814092.953523","1060469765.11744","1243628185.90705","1440355236.65289","1305057096.24796","1712887438.82545","1763649161.79842","1821871087.51025","1946484433.54561","1732778975.93113","1285038190.18086","1319690975.01034","1432350738.64797","1483690854.78214","1552006997.30509","1635375635.36837","1702247916.93373","1641748610.81803","1682724596.9051","1957000395.8086","2067813620.77799","2095160344.8604","2220697265.02241","2083190936.61826","2161540713.18832","2069633867.62324","2013809205.02092","2068801702.52768","2354763734.87903","2508468156.85399","3166699286.03525","3711672355.81822","4958383736.51272","5068251709.40171","5923173414.44475","7277359172.37307","7945025984.05085","8743489411.12773","9115361878.65291","8316847330.34974","8596051456.57751","9891019345.15983","10574133559.242","10309823167.785","8557307821.84187",
"Brazil","BRA","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","5577261388.21488","5946175638.88398","8003875297.24114","6793159554.0568","6520936506.67227","8065425203.12212","8919175866.90115","10396175889.1679","11729198833.2917","13622585421.9581","16100750952.153","19166337452.185","26496716609.6275","36606872242.0549","43881294192.9237","53406528922.4241","59989144498.933","71325709050.1031","82157935532.0915","93051936803.5367","103428380079.121","115451747816.331","80274258180.7172","87112445817.7195","91942790976.6297","107772919327.99","121435683792.282","130331771193.478","146736790606.654","130001774673.108","108837514673.931","112017984236.423","137371086748.008","186090833270.45","179881367882.167","189986239388.26","199552969661.705","191042427194.705","130402430582.808","150796464985.93","126777666995.838","114680117356.985","128861655886.625","162681634209.115","215530884688.916","260779872948.532","323087984440.906","391493198834.935","364715328387.665","513951950906.674","604385832558.626","545644937378.718","524851210033.543","502812645011.301","348909035679.305","329595158338.047","375322416820.264","359406887323.397","345685716504.134","254996992319.219",
